AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
18,3,3,5.51,28.32,37.79,20.29,500,0,256963,1,1
18,0,3,7.25,24.89,46.08,21.93,500,0,32226,1,1
18,4,4,5.94,35.11,54.46,27.48,500,0,329276,1,1
18,0,0,8.37,21.4,59.79,0.0,500,0,52787,1,11
18,4,3,4.06,23.69,32.07,15.18,500,0,57772,1,11
29,4,3,2.64,198.23,54.87,31.46,100,1,256549,1,11
29,0,3,6.74,24.41,34.35,14.9,100,1,307539,1,11
29,2,0,4.88,436.49,34.27,15.88,100,1,323175,1,1
29,3,3,5.31,455.92,46.49,23.52,100,1,451403,1,1
26,0,0,4.63,11.52,0.0,0.0,500,2,64373,2,11
16,0,0,0.63,11.3,7.9,0.0,100,3,11934,3,4
16,0,0,1.56,10.55,0.0,0.0,100,3,14502,0,6
16,0,0,6.6,19.9,53.14,0.0,100,3,1454121,1,11
16,3,0,3.35,224.09,30.2,18.7,100,3,157197,3,11
16,0,0,1.06,10.97,0.0,0.0,100,3,1682,3,6
16,3,3,3.65,20.12,22.08,11.9,100,3,1698847,2,11
16,0,0,6.62,14.73,41.24,0.0,100,3,1831,3,11
16,0,3,3.84,28.71,23.17,14.07,100,3,197707,3,0
16,4,3,1.04,72.69,8.68,5.27,100,3,21613,0,6
16,0,0,0.54,10.33,0.0,0.0,100,3,2292,3,4
16,0,0,12.49,14.19,35.11,0.0,100,3,2446,3,11
16,0,0,3.74,19.39,45.43,0.0,100,3,25200,1,11
16,5,4,2.36,56.8,17.93,10.64,100,3,276072,2,8
16,0,0,1.02,11.86,8.82,0.0,100,3,286361,3,6
16,0,0,5.95,11.69,18.63,0.0,100,3,3061,3,11
16,0,0,4.07,16.23,26.84,11.8,100,3,312417,3,11
16,0,0,3.36,17.2,59.73,0.0,100,3,33933,3,11
16,3,3,1.53,94.34,9.26,5.71,100,3,364314,0,6
16,3,3,1.53,92.22,9.25,5.71,100,3,364314,0,6
16,0,0,9.27,13.97,0.0,0.0,100,3,37457,1,11
16,0,0,0.0,10.37,0.0,0.0,100,3,4157,3,11
16,0,0,6.76,11.29,0.0,0.0,100,3,4384,3,11
16,0,0,10.78,12.89,0.0,0.0,100,3,53533,1,11
16,0,0,1.42,11.62,9.46,0.0,100,3,5495,3,8
16,0,0,0.7,11.55,8.15,0.0,100,3,57576,3,6
16,4,5,2.39,25.53,20.39,12.76,100,3,711471,2,8
16,0,0,3.86,13.12,0.0,0.0,100,3,728022,2,11
16,0,0,1.59,9.22,0.0,0.0,100,3,7571,3,2
16,0,2,5.06,16.37,26.97,14.08,100,3,75107,3,11
16,0,0,0.62,11.51,8.15,0.0,100,3,809336,3,4
16,0,0,9.0,14.52,0.0,0.0,100,3,89909,1,11
16,0,0,0.0,10.45,0.0,0.0,100,3,936,3,6
16,0,0,9.77,21.65,60.84,0.0,100,3,9158,3,11
16,0,0,5.71,14.41,22.63,0.0,100,3,94882,1,11
16,0,0,0.0,0.0,0.0,0.0,100,3,0,3,11
16,0,0,4.97,16.0,55.65,0.0,500,3,89874,1,11
19,3,4,0.58,2592.72,7.34,6.0,500,4,1264837,0,4
19,0,4,0.54,1259.04,6.74,5.63,500,4,61604,0,2
